Name Vorname,Anzahl erhaltene Stimmen,Ausgeteilte Wahlzettel,Eingegangene Wahlzettel,Leer,Ungültig,Absolutes Mehr,Stimmenanteil,Wahlgang,Datum,Partei
"Graber, Pierre",188,243,243,22,0,111,77.37,1,1969-12-10T00:00:00Z,SP
"Schaffner, Hans",175,233,232,15,3,108,75.43,1,1961-06-15T00:00:00Z,FDP
"Honegger, Fritz",173,240,230,20,2,105,75.22,1,1977-12-07T00:00:00Z,FDP
"Koller, Arnold",180,244,243,0,1,122,74.07,1,1986-12-10T00:00:00Z,Die Mitte
"Gnägi, Rudolf",176,242,239,23,1,108,73.64,1,1965-12-15T00:00:00Z,SVP
"Cotti, Flavio",163,243,242,3,0,120,67.36,1,1986-12-10T00:00:00Z,Die Mitte
"Brugger, Ernst",160,243,241,5,0,119,66.39,1,1969-12-10T00:00:00Z,FDP
"Schlumpf, Leon",159,246,246,4,1,121,64.63,1,1979-12-05T00:00:00Z,SVP
"Keller-Suter, Karin",154,244,243,6,0,119,63.37,1,2018-12-05T00:00:00Z,FDP
"Felber, René",152,242,242,11,3,115,62.81,1,1987-12-09T00:00:00Z,SP
"Spühler, Willy",149,238,238,12,0,114,62.61,1,1959-12-17T00:00:00Z,SP
"von Moos, Ludwig",148,238,238,12,0,114,62.18,1,1959-12-17T00:00:00Z,Die Mitte
"Ahmerd, Viola",148,244,244,4,0,121,60.66,1,2018-12-05T00:00:00Z,Die Mitte
"Aubert, Pierre",139,239,239,7,0,117,58.16,1,1977-12-07T00:00:00Z,SP
"Celio, Nello",136,236,236,2,2,117,57.63,1,1966-12-14T00:00:00Z,FDP
"Chevallaz, Georges-André",137,241,241,0,0,121,56.85,1,1973-12-05T00:00:00Z,FDP
"Bourgknecht, Jean",134,240,240,7,0,117,55.83,1,1959-12-17T00:00:00Z,Die Mitte
"Leuthard, Doris",133,242,242,5,3,118,54.96,1,2006-06-14T00:00:00Z,Die Mitte
"Hürlimann, Hans",132,241,241,3,9,115,54.77,1,1973-12-05T00:00:00Z,Die Mitte
"Rösti, Albert",131,245,245,2,0,122,53.47,1,2022-12-07T00:00:00Z,SVP
