name,kanton,age_elec_integer,gewahlt,Nom et prénom,Age lors de l'élection,Parti,Canton,Date de l'élection,Name Vorname,Alter bei der Wahl,Partei,Kanton,Wahltag,Cognome e nome,Età al momento dell'elezione,Partito,Cantone,Data d'elezione
"Blocher, Christoph",ZH,63,2003-12-10,"Blocher, Christoph",63,UDC,ZH,2003-12-10,"Blocher, Christoph",63,SVP,ZH,2003-12-10,"Blocher, Christoph",63,UDC,ZH,2003-12-10
"Graber, Pierre",NE,61,1969-12-10,"Graber, Pierre",61,PS,NE,1969-12-10,"Graber, Pierre",61,SP,NE,1969-12-10,"Graber, Pierre",61,PS,NE,1969-12-10
"Merz, Hans-Rudolf",AR,61,2003-12-10,"Merz, Hans-Rudolf",61,PLR,AR,2003-12-10,"Merz, Hans-Rudolf",61,FDP,AR,2003-12-10,"Merz, Hans-Rudolf",61,PLR,AR,2003-12-10
"Honegger, Fritz",ZH,60,1977-12-07,"Honegger, Fritz",60,PLR,ZH,1977-12-07,"Honegger, Fritz",60,FDP,ZH,1977-12-07,"Honegger, Fritz",60,PLR,ZH,1977-12-07
"Friedrich, Rudolf",ZH,59,1982-12-08,"Friedrich, Rudolf",59,PLR,ZH,1982-12-08,"Friedrich, Rudolf",59,FDP,ZH,1982-12-08,"Friedrich, Rudolf",59,PLR,ZH,1982-12-08
"Jans, Beat",BS,59,2023-12-13,"Jans, Beat",59,PS,BS,2023-12-13,"Jans, Beat",59,SP,BS,2023-12-13,"Jans, Beat",59,PS,BS,2023-12-13
"Chevallaz, Georges-André",VD,58,1973-12-05,"Chevallaz, Georges-André",58,PLR,VD,1973-12-05,"Chevallaz, Georges-André",58,FDP,VD,1973-12-05,"Chevallaz, Georges-André",58,PLR,VD,1973-12-05
"Egli, Alphons",LU,58,1982-12-08,"Egli, Alphons",58,NA,LU,1982-12-08,"Egli, Alphons",58,Mitte,LU,1982-12-08,"Egli, Alphons",58,NA,LU,1982-12-08
"Maurer, Ueli",ZH,58,2008-12-10,"Maurer, Ueli",58,UDC,ZH,2008-12-10,"Maurer, Ueli",58,SVP,ZH,2008-12-10,"Maurer, Ueli",58,UDC,ZH,2008-12-10
"Schneider-Ammann, Johann N.",BE,58,2010-09-22,"Schneider-Ammann, Johann N.",58,PLR,BE,2010-09-22,"Schneider-Ammann, Johann N.",58,FDP,BE,2010-09-22,"Schneider-Ammann, Johann N.",58,PLR,BE,2010-09-22
"Baume-Schneider, Elisabeth",JU,58,2022-12-07,"Baume-Schneider, Elisabeth",58,PS,JU,2022-12-07,"Baume-Schneider, Elisabeth",58,SP,JU,2022-12-07,"Baume-Schneider, Elisabeth",58,PS,JU,2022-12-07
"Calmy-Rey, Micheline",GE,57,2002-12-04,"Calmy-Rey, Micheline",57,PS,GE,2002-12-04,"Calmy-Rey, Micheline",57,SP,GE,2002-12-04,"Calmy-Rey, Micheline",57,PS,GE,2002-12-04
"Stich, Otto",SO,56,1983-12-07,"Stich, Otto",56,PS,SO,1983-12-07,"Stich, Otto",56,SP,SO,1983-12-07,"Stich, Otto",56,PS,SO,1983-12-07
"Parmelin, Guy",VD,56,2015-12-09,"Parmelin, Guy",56,UDC,VD,2015-12-09,"Parmelin, Guy",56,SVP,VD,2015-12-09,"Parmelin, Guy",56,UDC,VD,2015-12-09
"Cassis, Ignazio",TI,56,2017-09-20,"Cassis, Ignazio",56,PLR,TI,2017-09-20,"Cassis, Ignazio",56,FDP,TI,2017-09-20,"Cassis, Ignazio",56,PLR,TI,2017-09-20
"Amherd, Viola",VS,56,2018-12-05,"Amherd, Viola",56,NA,VS,2018-12-05,"Amherd, Viola",56,Mitte,VS,2018-12-05,"Amherd, Viola",56,NA,VS,2018-12-05
"Bonvin, Roger",VS,55,1962-09-27,"Bonvin, Roger",55,NA,VS,1962-09-27,"Bonvin, Roger",55,Mitte,VS,1962-09-27,"Bonvin, Roger",55,NA,VS,1962-09-27
"Brugger, Ernst",ZH,55,1969-12-10,"Brugger, Ernst",55,PLR,ZH,1969-12-10,"Brugger, Ernst",55,FDP,ZH,1969-12-10,"Brugger, Ernst",55,PLR,ZH,1969-12-10
"Ritschard, Willy",SO,55,1973-12-05,"Ritschard, Willy",55,PS,SO,1973-12-05,"Ritschard, Willy",55,SP,SO,1973-12-05,"Ritschard, Willy",55,PS,SO,1973-12-05
"Hürlimann, Hans",ZG,55,1973-12-05,"Hürlimann, Hans",55,NA,ZG,1973-12-05,"Hürlimann, Hans",55,Mitte,ZG,1973-12-05,"Hürlimann, Hans",55,NA,ZG,1973-12-05
