Nom et prénom,Cognome e nome,Name Vorname,Nombre de voix obtenues,Anzahl erhaltene Stimmen,Numero di voti ottenuti,Bulletins délivrés,Ausgeteilte Wahlzettel,Schede distribuite,Bulletins rentrés,Eingegangene Wahlzettel,Schede consegnate,Bulletins blancs,Leer,Schede in bianco,Bulletins nuls,Ungültig,Schede nulle,Majorité absolue,Absolutes Mehr,Maggioranza assoluta,Pourcentage des voix,Stimmenanteil,Percentuale di voti,Tour,Wahlgang,Turno,Date,Datum,Data d'elezione,Partei,Parti
"Deiss, Joseph","Deiss, Joseph","Deiss, Joseph",120,120,120,244,244,244,244,244,244,5,5,5,0,0,5,120,120,120,49.18,49.18,49.18,6,6,6,1999-03-11T00:00:00Z,1999-03-11T00:00:00Z,1999-03-11T00:00:00Z,Die Mitte,Le Centre
"Schmid, Samuel","Schmid, Samuel","Schmid, Samuel",121,121,121,244,244,244,244,244,244,10,10,10,2,2,10,117,117,117,49.59,49.59,49.59,6,6,6,2000-12-06T00:00:00Z,2000-12-06T00:00:00Z,2000-12-06T00:00:00Z,SVP,UDC
"Leuenberger, Moritz","Leuenberger, Moritz","Leuenberger, Moritz",124,124,124,244,244,244,244,244,244,33,33,33,1,1,33,106,106,106,50.82,50.82,50.82,5,5,5,1995-09-27T00:00:00Z,1995-09-27T00:00:00Z,1995-09-27T00:00:00Z,SP,PS
"Calmy-Rey, Micheline","Calmy-Rey, Micheline","Calmy-Rey, Micheline",131,131,131,245,245,245,244,244,244,44,44,44,1,1,44,100,100,100,53.69,53.69,53.69,5,5,5,2002-12-04T00:00:00Z,2002-12-04T00:00:00Z,2002-12-04T00:00:00Z,SP,PS
"Schneider-Ammann, Johann N.","Schneider-Ammann, Johann N.","Schneider-Ammann, Johann N.",144,144,144,245,245,245,245,245,245,6,6,6,2,2,6,119,119,119,58.78,58.78,58.78,5,5,5,2010-09-22T00:00:00Z,2010-09-22T00:00:00Z,2010-09-22T00:00:00Z,SVP,UDC
"Couchepin, Pascal","Couchepin, Pascal","Couchepin, Pascal",146,146,146,246,246,246,246,246,246,7,7,7,1,1,7,120,120,120,59.35,59.35,59.35,5,5,5,1998-03-11T00:00:00Z,1998-03-11T00:00:00Z,1998-03-11T00:00:00Z,FDP,PLR
"Bonvin, Roger","Bonvin, Roger","Bonvin, Roger",142,142,142,234,234,234,233,233,233,4,4,4,2,2,4,114,114,114,60.94,60.94,60.94,5,5,5,1962-09-07T00:00:00Z,1962-09-07T00:00:00Z,1962-09-07T00:00:00Z,Die Mitte,Le Centre
"Metzler-Arnold, Ruth","Metzler-Arnold, Ruth","Metzler-Arnold, Ruth",126,126,126,245,245,245,244,244,244,0,0,0,0,0,0,123,123,123,51.64,51.64,51.64,4,4,4,1999-03-11T00:00:00Z,1999-03-11T00:00:00Z,1999-03-11T00:00:00Z,Die Mitte,Le Centre
"Burkhalter, Didier","Burkhalter, Didier","Burkhalter, Didier",129,129,129,245,245,245,245,245,245,5,5,5,1,1,5,120,120,120,52.65,52.65,52.65,4,4,4,2009-09-16T00:00:00Z,2009-09-16T00:00:00Z,2009-09-16T00:00:00Z,FDP,PLR
"Sommaruga, Simonetta","Sommaruga, Simonetta","Sommaruga, Simonetta",159,159,159,245,245,245,245,245,245,3,3,3,2,2,3,121,121,121,64.9,64.9,64.9,4,4,4,2010-09-22T00:00:00Z,2010-09-22T00:00:00Z,2010-09-22T00:00:00Z,SP,PS
"Blocher, Christoph","Blocher, Christoph","Blocher, Christoph",121,121,121,246,246,246,246,246,246,5,5,5,4,4,5,119,119,119,49.19,49.19,49.19,3,3,3,2003-12-10T00:00:00Z,2003-12-10T00:00:00Z,2003-12-10T00:00:00Z,SVP,UDC
