Nom et prénom,Cognome e nome,Name Vorname,Nombre de voix obtenues,Anzahl erhaltene Stimmen,Numero di voti ottenuti,Bulletins délivrés,Ausgeteilte Wahlzettel,Schede distribuite,Bulletins rentrés,Eingegangene Wahlzettel,Schede consegnate,Bulletins blancs,Leer,Schede in bianco,Bulletins nuls,Ungültig,Schede nulle,Majorité absolue,Absolutes Mehr,Maggioranza assoluta,Pourcentage des voix,Stimmenanteil,Percentuale di voti,Tour,Wahlgang,Turno,Date,Datum,Data d'elezione,Partei,Parti
"Walter, Hansjörg , 2008","Walter, Hansjörg , 2008","Walter, Hansjörg , 2008",121,121,121,244,244,244,244,244,244,1,1,1,0,0,1,122,122,122,49.59,49.59,49.59,3,3,3,2008-12-10T00:00:00Z,2008-12-10T00:00:00Z,2008-12-10T00:00:00Z,SVP,UDC
"Hess, Peter , 1999","Hess, Peter , 1999","Hess, Peter , 1999",119,119,119,244,244,244,244,244,244,5,5,5,0,0,5,120,120,120,48.77,48.77,48.77,6,6,6,1999-03-11T00:00:00Z,1999-03-11T00:00:00Z,1999-03-11T00:00:00Z,Die Mitte,Le Centre
"Roos, Rita , 1999","Roos, Rita , 1999","Roos, Rita , 1999",118,118,118,245,245,245,244,244,244,0,0,0,0,0,0,123,123,123,48.36,48.36,48.36,4,4,4,1999-03-11T00:00:00Z,1999-03-11T00:00:00Z,1999-03-11T00:00:00Z,Die Mitte,Le Centre
"Herzog, Eva , 2022","Herzog, Eva , 2022","Herzog, Eva , 2022",116,116,116,245,245,245,245,245,245,0,0,0,0,0,0,123,123,123,47.35,47.35,47.35,3,3,3,2022-12-07T00:00:00Z,2022-12-07T00:00:00Z,2022-12-07T00:00:00Z,SP,PS
"Metzler-Arnold, Ruth , 2003","Metzler-Arnold, Ruth , 2003","Metzler-Arnold, Ruth , 2003",116,116,116,246,246,246,246,246,246,5,5,5,4,4,5,119,119,119,47.15,47.15,47.15,3,3,3,2003-12-10T00:00:00Z,2003-12-10T00:00:00Z,2003-12-10T00:00:00Z,Die Mitte,Le Centre
NA,NA,NA,77,77,77,164,164,164,164,164,164,0,0,0,1,1,0,83,83,83,46.95,46.95,46.95,6,6,6,NA,NA,NA,Die Mitte,Le Centre
"Blocher, Christoph , 2007","Blocher, Christoph , 2007","Blocher, Christoph , 2007",115,115,115,246,246,246,246,246,246,4,4,4,0,0,4,122,122,122,46.75,46.75,46.75,2,2,2,2007-12-12T00:00:00Z,2007-12-12T00:00:00Z,2007-12-12T00:00:00Z,SVP,UDC
NA,NA,NA,78,78,78,171,171,171,171,171,171,1,1,1,0,0,1,86,86,86,45.61,45.61,45.61,3,3,3,NA,NA,NA,FDP,PLR
NA,NA,NA,81,81,81,186,186,186,184,184,184,5,5,5,0,0,5,90,90,90,44.02,44.02,44.02,4,4,4,NA,NA,NA,LDP,GLE
"Klöti, Emil , 1938","Klöti, Emil , 1938","Klöti, Emil , 1938",98,98,98,223,223,223,223,223,223,8,8,8,0,0,8,108,108,108,43.95,43.95,43.95,1,1,1,1938-12-15T00:00:00Z,1938-12-15T00:00:00Z,1938-12-15T00:00:00Z,SP,PS
NA,NA,NA,73,73,73,168,168,168,168,168,168,0,0,0,0,0,0,85,85,85,43.45,43.45,43.45,2,2,2,NA,NA,NA,LDP,GLE
"Crittin, Camille , 1940","Crittin, Camille , 1940","Crittin, Camille , 1940",98,98,98,226,226,226,226,226,226,9,9,9,2,2,9,108,108,108,43.36,43.36,43.36,5,5,5,1940-12-10T00:00:00Z,1940-12-10T00:00:00Z,1940-12-10T00:00:00Z,FDP,PLR
"Schwaller, Urs , 2009","Schwaller, Urs , 2009","Schwaller, Urs , 2009",106,106,106,245,245,245,245,245,245,5,5,5,1,1,5,120,120,120,43.27,43.27,43.27,4,4,4,2009-09-16T00:00:00Z,2009-09-16T00:00:00Z,2009-09-16T00:00:00Z,Die Mitte,Le Centre
NA,NA,NA,76,76,76,177,177,177,177,177,177,1,1,1,1,1,1,88,88,88,42.94,42.94,42.94,1,1,1,NA,NA,NA,Die Mitte,Le Centre
NA,NA,NA,66,66,66,157,157,157,155,155,155,0,0,0,0,0,0,78,78,78,42.58,42.58,42.58,2,2,2,NA,NA,NA,FDP,PLR
NA,NA,NA,77,77,77,181,181,181,181,181,181,0,0,0,0,0,0,91,91,91,42.54,42.54,42.54,1,1,1,NA,NA,NA,Die Mitte,Le Centre
"Schaffner, Hans , 1959","Schaffner, Hans , 1959","Schaffner, Hans , 1959",97,97,97,235,235,235,235,235,235,5,5,5,0,0,5,116,116,116,41.28,41.28,41.28,3,3,3,1959-12-17T00:00:00Z,1959-12-17T00:00:00Z,1959-12-17T00:00:00Z,FDP,PLR
NA,NA,NA,60,60,60,154,154,154,148,148,148,0,0,0,0,0,0,75,75,75,40.54,40.54,40.54,3,3,3,NA,NA,NA,FDP,PLR
NA,NA,NA,53,53,53,132,132,132,132,132,132,0,0,0,0,0,0,67,67,67,40.15,40.15,40.15,3,3,3,NA,NA,NA,FDP,PLR
"Vogt, Hans-Ueli , 2022","Vogt, Hans-Ueli , 2022","Vogt, Hans-Ueli , 2022",98,98,98,245,245,245,245,245,245,2,2,2,0,0,2,122,122,122,40,40,40,1,1,1,2022-12-07T00:00:00Z,2022-12-07T00:00:00Z,2022-12-07T00:00:00Z,SVP,UDC
