Cognome e nome,Numero di voti ottenuti,Schede distribuite,Schede consegnate,Schede in bianco,Maggioranza assoluta,Percentuale di voti,Turno,Data d'elezione,Partito
"Graber, Pierre",188,243,243,22,111,77.37,1,1969-12-10T00:00:00Z,PS
"Schaffner, Hans",175,233,232,15,108,75.43,1,1961-06-15T00:00:00Z,PLR
"Honegger, Fritz",173,240,230,20,105,75.22,1,1977-12-07T00:00:00Z,PLR
"Koller, Arnold",180,244,243,0,122,74.07,1,1986-12-10T00:00:00Z,Il Centro
"Gnägi, Rudolf",176,242,239,23,108,73.64,1,1965-12-15T00:00:00Z,UDC
"Cotti, Flavio",163,243,242,3,120,67.36,1,1986-12-10T00:00:00Z,Il Centro
"Brugger, Ernst",160,243,241,5,119,66.39,1,1969-12-10T00:00:00Z,PLR
"Schlumpf, Leon",159,246,246,4,121,64.63,1,1979-12-05T00:00:00Z,UDC
"Keller-Suter, Karin",154,244,243,6,119,63.37,1,2018-12-05T00:00:00Z,PLR
"Felber, René",152,242,242,11,115,62.81,1,1987-12-09T00:00:00Z,PS
"Spühler, Willy",149,238,238,12,114,62.61,1,1959-12-17T00:00:00Z,PS
"von Moos, Ludwig",148,238,238,12,114,62.18,1,1959-12-17T00:00:00Z,Il Centro
"Ahmerd, Viola",148,244,244,4,121,60.66,1,2018-12-05T00:00:00Z,Il Centro
"Aubert, Pierre",139,239,239,7,117,58.16,1,1977-12-07T00:00:00Z,PS
"Celio, Nello",136,236,236,2,117,57.63,1,1966-12-14T00:00:00Z,PLR
"Chevallaz, Georges-André",137,241,241,0,121,56.85,1,1973-12-05T00:00:00Z,PLR
"Bourgknecht, Jean",134,240,240,7,117,55.83,1,1959-12-17T00:00:00Z,Il Centro
"Leuthard, Doris",133,242,242,5,118,54.96,1,2006-06-14T00:00:00Z,Il Centro
"Hürlimann, Hans",132,241,241,3,115,54.77,1,1973-12-05T00:00:00Z,Il Centro
"Rösti, Albert",131,245,245,2,122,53.47,1,2022-12-07T00:00:00Z,UDC
