Nom et prénom,Parti,Date,Tour,Nombre de voix obtenues,Bulletins délivrés,Bulletins rentrés,Bulletins blancs,Bulletins nuls,Majorité absolue,Pourcentage des voix
"Deiss, Joseph",Le Centre,1999-03-11,6,120,244,244,5,0,120,49.18
"Schmid, Samuel",UDC,2000-12-06,6,121,244,244,10,2,117,49.59
"Leuenberger, Moritz",PS,1995-09-27,5,124,244,244,33,1,106,50.82
"Calmy-Rey, Micheline",PS,2002-12-04,5,131,245,244,44,1,100,53.69
"Schneider-Ammann, Johann N.",PLR,2010-09-22,5,144,245,245,6,2,119,58.78
"Couchepin, Pascal",PLR,1998-03-11,5,146,246,246,7,1,120,59.35
"Bonvin, Roger",Le Centre,1962-09-07,5,142,234,233,4,2,114,60.94
"Metzler-Arnold, Ruth",Le Centre,1999-03-11,4,126,245,244,0,0,123,51.64
"Burkhalter, Didier",PLR,2009-09-16,4,129,245,245,5,1,120,52.65
"Sommaruga, Simonetta",PS,2010-09-22,4,159,245,245,3,2,121,64.9
"Blocher, Christoph",UDC,2003-12-10,3,121,246,246,5,4,119,49.19
"Maurer, Ueli",UDC,2008-12-10,3,122,244,244,1,0,122,50
"Baume-Schneider, Elisabeth",PS,2022-12-07,3,123,245,245,0,0,123,50.2
"Tschudi, Hans-Peter",PS,1959-12-17,3,129,235,235,5,0,116,54.89
"Parmelin, Guy",UDC,2015-12-09,3,138,243,243,6,0,119,56.79
"Dreifuss, Ruth",PS,1993-03-10,3,144,229,228,38,0,96,63.16
"Cassis, Ignazio",PLR,2017-09-20,2,125,246,246,2,0,123,50.81
"Widmer-Schlumpf, Eveline",UDC,2007-12-12,2,125,246,246,4,0,122,50.81
"Berset, Alain",PS,2011-12-14,2,126,245,245,0,0,123,51.43
"Merz, Hans-Rudolf",PLR,2003-12-10,2,127,244,244,5,0,120,52.05
