Nom et prénom,Canton,Age lors de l'élection,Date de l'élection
"Metzler-Arnold, Ruth",AI,34.8,1999-03-11
"Berset, Alain",FR,39.68,2011-12-14
"Leuthard, Doris",AG,43.18,2006-06-14
"Ogi, Adolf",BE,45.39,1987-12-09
"Cotti, Flavio",TI,47.15,1986-12-10
"Furgler, Kurt",SG,47.46,1971-12-08
"Kopp, Elisabeth",ZH,47.79,1984-10-02
"Delamuraz, Jean-Pascal",VD,47.92,1983-12-07
"Villiger, Kaspar",LU,47.99,1989-02-01
"Gnägi, Rudolf",BE,48.35,1965-12-08
"Leuenberger, Moritz",ZH,49.02,1995-09-27
"Burkhalter, Didier",NE,49.42,2009-09-16
"Sommaruga, Simonetta",BE,50.36,2010-09-22
"Aubert, Pierre",NE,50.77,1977-12-07
"Widmer-Schlumpf, Eveline",GR,51.74,2007-12-12
"Schaffner, Hans",AG,52.5,1961-06-15
"Celio, Nello",TI,52.84,1966-12-15
"Deiss, Joseph",FR,53.14,1999-03-11
"Dreifuss, Ruth",GE,53.17,1993-03-10
"Schmid, Samuel",BE,53.91,2000-12-06
