name,partei,kanton,age_elec,gewahlt,Partei,Nom et prénom,Name Vorname,Cognome e nome,Kanton,Canton,Cantone,Date de l'élection,Wahltag,Data d'elezione,Age lors de l'élection,Alter bei der Wahl,Età al momento dell'elezione,Parti,Partito
"Blocher, Christoph",SVP,ZH,63.16,2003-12-10,SVP,"Blocher, Christoph","Blocher, Christoph","Blocher, Christoph",ZH,ZH,ZH,2003-12-10,2003-12-10,2003-12-10,63.16,63.16,63.16,UDC,UDC
"Merz, Hans-Rudolf",FDP,AR,61.08,2003-12-10,FDP,"Merz, Hans-Rudolf","Merz, Hans-Rudolf","Merz, Hans-Rudolf",AR,AR,AR,2003-12-10,2003-12-10,2003-12-10,61.08,61.08,61.08,PLR,PLR
"Graber, Pierre",SP,NE,61.01,1969-12-10,SP,"Graber, Pierre","Graber, Pierre","Graber, Pierre",NE,NE,NE,1969-12-10,1969-12-10,1969-12-10,61.01,61.01,61.01,PS,PS
"Honegger, Fritz",FDP,ZH,60.37,1977-12-07,FDP,"Honegger, Fritz","Honegger, Fritz","Honegger, Fritz",ZH,ZH,ZH,1977-12-07,1977-12-07,1977-12-07,60.37,60.37,60.37,PLR,PLR
"Friedrich, Rudolf",FDP,ZH,59.43,1982-12-08,FDP,"Friedrich, Rudolf","Friedrich, Rudolf","Friedrich, Rudolf",ZH,ZH,ZH,1982-12-08,1982-12-08,1982-12-08,59.43,59.43,59.43,PLR,PLR
"Chevallaz, Georges-André",FDP,VD,58.83,1973-12-05,FDP,"Chevallaz, Georges-André","Chevallaz, Georges-André","Chevallaz, Georges-André",VD,VD,VD,1973-12-05,1973-12-05,1973-12-05,58.83,58.83,58.83,PLR,PLR
"Schneider-Ammann, Johann N.",FDP,BE,58.59,2010-09-22,FDP,"Schneider-Ammann, Johann N.","Schneider-Ammann, Johann N.","Schneider-Ammann, Johann N.",BE,BE,BE,2010-09-22,2010-09-22,2010-09-22,58.59,58.59,58.59,PLR,PLR
"Egli, Alphons",CVP,LU,58.17,1982-12-08,CVP,"Egli, Alphons","Egli, Alphons","Egli, Alphons",LU,LU,LU,1982-12-08,1982-12-08,1982-12-08,58.17,58.17,58.17,Le Centre,Il Centro
"Maurer, Ueli",SVP,ZH,58.03,2008-12-10,SVP,"Maurer, Ueli","Maurer, Ueli","Maurer, Ueli",ZH,ZH,ZH,2008-12-10,2008-12-10,2008-12-10,58.03,58.03,58.03,UDC,UDC
"Calmy-Rey, Micheline",SP,GE,57.41,2002-12-04,SP,"Calmy-Rey, Micheline","Calmy-Rey, Micheline","Calmy-Rey, Micheline",GE,GE,GE,2002-12-04,2002-12-04,2002-12-04,57.41,57.41,57.41,PS,PS
