name,partei,kanton,age_elec,gewahlt,Partei,Nom et prénom,Name Vorname,ITname,Kanton,Canton,Cantone,Date de l'élection,Wahltag,IT_gewahlt,Age lors de l'élection,DE_age_elec,IT_age_elec,Parti,Partito
"Ador, Gustave",LPS,GE,71.5,1917-06-26,FDP,"Ador, Gustave","Ador, Gustave","Ador, Gustave",GE,GE,GE,1917-06-26,1917-06-26,1917-06-26,71.5,71.5,71.5,PLR,PLR
"Escher, Josef",CVP,VS,64.99,1950-09-14,CVP,"Escher, Josef","Escher, Josef","Escher, Josef",VS,VS,VS,1950-09-14,1950-09-14,1950-09-14,64.99,64.99,64.99,Le Centre,Il Centro
"Blocher, Christoph",SVP,ZH,63.16,2003-12-10,SVP,"Blocher, Christoph","Blocher, Christoph","Blocher, Christoph",ZH,ZH,ZH,2003-12-10,2003-12-10,2003-12-10,63.16,63.16,63.16,UDC,UDC
"Perrier, Louis",FDP,NE,63.05,1912-03-12,FDP,"Perrier, Louis","Perrier, Louis","Perrier, Louis",NE,NE,NE,1912-03-12,1912-03-12,1912-03-12,63.05,63.05,63.05,PLR,PLR
"Chuard, Ernest",FDP,VD,62.36,1919-12-11,FDP,"Chuard, Ernest","Chuard, Ernest","Chuard, Ernest",VD,VD,VD,1919-12-11,1919-12-11,1919-12-11,62.36,62.36,62.36,PLR,PLR
"Wetter, Ernst",FDP,ZH,61.3,1938-12-15,FDP,"Wetter, Ernst","Wetter, Ernst","Wetter, Ernst",ZH,ZH,ZH,1938-12-15,1938-12-15,1938-12-15,61.3,61.3,61.3,PLR,PLR
"Merz, Hans-Rudolf",FDP,AR,61.08,2003-12-10,FDP,"Merz, Hans-Rudolf","Merz, Hans-Rudolf","Merz, Hans-Rudolf",AR,AR,AR,2003-12-10,2003-12-10,2003-12-10,61.08,61.08,61.08,PLR,PLR
"Graber, Pierre",SP,NE,61.01,1969-12-10,SP,"Graber, Pierre","Graber, Pierre","Graber, Pierre",NE,NE,NE,1969-12-10,1969-12-10,1969-12-10,61.01,61.01,61.01,PS,PS
"Honegger, Fritz",FDP,ZH,60.37,1977-12-07,FDP,"Honegger, Fritz","Honegger, Fritz","Honegger, Fritz",ZH,ZH,ZH,1977-12-07,1977-12-07,1977-12-07,60.37,60.37,60.37,PLR,PLR
"Meyer, Albert",FDP,ZH,59.75,1929-12-12,FDP,"Meyer, Albert","Meyer, Albert","Meyer, Albert",ZH,ZH,ZH,1929-12-12,1929-12-12,1929-12-12,59.75,59.75,59.75,PLR,PLR
"Wahlen, Friedrich Traugott",SVP,BE,59.67,1958-12-11,SVP,"Wahlen, Friedrich Traugott","Wahlen, Friedrich Traugott","Wahlen, Friedrich Traugott",BE,BE,BE,1958-12-11,1958-12-11,1958-12-11,59.67,59.67,59.67,UDC,UDC
"von Steiger, Eduard",SVP,BE,59.44,1940-12-10,SVP,"von Steiger, Eduard","von Steiger, Eduard","von Steiger, Eduard",BE,BE,BE,1940-12-10,1940-12-10,1940-12-10,59.44,59.44,59.44,UDC,UDC
"Friedrich, Rudolf",FDP,ZH,59.43,1982-12-08,FDP,"Friedrich, Rudolf","Friedrich, Rudolf","Friedrich, Rudolf",ZH,ZH,ZH,1982-12-08,1982-12-08,1982-12-08,59.43,59.43,59.43,PLR,PLR
"Schobinger, Josef Anton",CVP,LU,59.38,1908-06-17,CVP,"Schobinger, Josef Anton","Schobinger, Josef Anton","Schobinger, Josef Anton",LU,LU,LU,1908-06-17,1908-06-17,1908-06-17,59.38,59.38,59.38,Le Centre,Il Centro
"Baumann, Johannes",FDP,AR,59.31,1934-03-22,FDP,"Baumann, Johannes","Baumann, Johannes","Baumann, Johannes",AR,AR,AR,1934-03-22,1934-03-22,1934-03-22,59.31,59.31,59.31,PLR,PLR
"Holenstein, Thomas",CVP,SG,58.85,1954-12-16,CVP,"Holenstein, Thomas","Holenstein, Thomas","Holenstein, Thomas",SG,SG,SG,1954-12-16,1954-12-16,1954-12-16,58.85,58.85,58.85,Le Centre,Il Centro
"Chevallaz, Georges-André",FDP,VD,58.83,1973-12-05,FDP,"Chevallaz, Georges-André","Chevallaz, Georges-André","Chevallaz, Georges-André",VD,VD,VD,1973-12-05,1973-12-05,1973-12-05,58.83,58.83,58.83,PLR,PLR
"Schneider-Ammann, Johann N.",FDP,BE,58.59,2010-09-22,FDP,"Schneider-Ammann, Johann N.","Schneider-Ammann, Johann N.","Schneider-Ammann, Johann N.",BE,BE,BE,2010-09-22,2010-09-22,2010-09-22,58.59,58.59,58.59,PLR,PLR
"Egli, Alphons",CVP,LU,58.17,1982-12-08,CVP,"Egli, Alphons","Egli, Alphons","Egli, Alphons",LU,LU,LU,1982-12-08,1982-12-08,1982-12-08,58.17,58.17,58.17,Le Centre,Il Centro
"Maurer, Ueli",SVP,ZH,58.03,2008-12-10,SVP,"Maurer, Ueli","Maurer, Ueli","Maurer, Ueli",ZH,ZH,ZH,2008-12-10,2008-12-10,2008-12-10,58.03,58.03,58.03,UDC,UDC
