Non et prénom,IT_non et prénom,Name Vorname,Partei,Parti,Partito,Nombre de voix obtenues,DE_voix_total,IT_voix_total,Bulletins délivrés,DE_Bulletins_délivrés,IT_Bulletins_délivrés,Bulletins rentrés,DE_Bulletins rentrés,IT_Bulletins rentrés,Bulletins blancs,DE_Bulletins blancs,IT_Bulletins blancs,Majorité absolue,DE_Majorité absolue,IT_Majorité absolue,Pourcentage des voix,DE_Pourcentage des voix,ITPourcentage des voix,Tour,Wahlgang,IT_Tour,Date,Datum,IT_Date,Nom et prénom,IT_nom et prénom
"Deiss, Joseph","Deiss, Joseph","Deiss, Joseph",Die Mitte,Le Centre,Il Centro,120,120,120,244,244,244,244,244,244,5,5,5,120,120,120,49.18,49.18,49.18,6,6,6,1999-03-11,1999-03-11,1999-03-11,"Deiss, Joseph","Deiss, Joseph"
"Schmid, Samuel","Schmid, Samuel","Schmid, Samuel",SVP,UDC,UDC,121,121,121,244,244,244,244,244,244,10,10,10,117,117,117,49.59,49.59,49.59,6,6,6,2000-12-06,2000-12-06,2000-12-06,"Schmid, Samuel","Schmid, Samuel"
"Leuenberger, Moritz","Leuenberger, Moritz","Leuenberger, Moritz",SP,PS,PS,124,124,124,244,244,244,244,244,244,33,33,33,106,106,106,50.82,50.82,50.82,5,5,5,1995-09-27,1995-09-27,1995-09-27,"Leuenberger, Moritz","Leuenberger, Moritz"
"Calmy-Rey, Micheline","Calmy-Rey, Micheline","Calmy-Rey, Micheline",SP,PS,PS,131,131,131,245,245,245,244,244,244,44,44,44,100,100,100,53.69,53.69,53.69,5,5,5,2002-12-04,2002-12-04,2002-12-04,"Calmy-Rey, Micheline","Calmy-Rey, Micheline"
"Schneider-Ammann, Johann N.","Schneider-Ammann, Johann N.","Schneider-Ammann, Johann N.",FDP,PLR,PLR,144,144,144,245,245,245,245,245,245,6,6,6,119,119,119,58.78,58.78,58.78,5,5,5,2010-09-22,2010-09-22,2010-09-22,"Schneider-Ammann, Johann N.","Schneider-Ammann, Johann N."
"Couchepin, Pascal","Couchepin, Pascal","Couchepin, Pascal",FDP,PLR,PLR,146,146,146,246,246,246,246,246,246,7,7,7,120,120,120,59.35,59.35,59.35,5,5,5,1998-03-11,1998-03-11,1998-03-11,"Couchepin, Pascal","Couchepin, Pascal"
"Bonvin, Roger","Bonvin, Roger","Bonvin, Roger",Die Mitte,Le Centre,Il Centro,142,142,142,234,234,234,233,233,233,4,4,4,114,114,114,60.94,60.94,60.94,5,5,5,1962-09-07,1962-09-07,1962-09-07,"Bonvin, Roger","Bonvin, Roger"
"Metzler-Arnold, Ruth","Metzler-Arnold, Ruth","Metzler-Arnold, Ruth",Die Mitte,Le Centre,Il Centro,126,126,126,245,245,245,244,244,244,0,0,0,123,123,123,51.64,51.64,51.64,4,4,4,1999-03-11,1999-03-11,1999-03-11,"Metzler-Arnold, Ruth","Metzler-Arnold, Ruth"
"Burkhalter, Didier","Burkhalter, Didier","Burkhalter, Didier",FDP,PLR,PLR,129,129,129,245,245,245,245,245,245,5,5,5,120,120,120,52.65,52.65,52.65,4,4,4,2009-09-16,2009-09-16,2009-09-16,"Burkhalter, Didier","Burkhalter, Didier"
"Sommaruga, Simonetta","Sommaruga, Simonetta","Sommaruga, Simonetta",SP,PS,PS,159,159,159,245,245,245,245,245,245,3,3,3,121,121,121,64.9,64.9,64.9,4,4,4,2010-09-22,2010-09-22,2010-09-22,"Sommaruga, Simonetta","Sommaruga, Simonetta"
"Blocher, Christoph","Blocher, Christoph","Blocher, Christoph",SVP,UDC,UDC,121,121,121,246,246,246,246,246,246,5,5,5,119,119,119,49.19,49.19,49.19,3,3,3,2003-12-10,2003-12-10,2003-12-10,"Blocher, Christoph","Blocher, Christoph"
"Maurer, Ueli","Maurer, Ueli","Maurer, Ueli",SVP,UDC,UDC,122,122,122,244,244,244,244,244,244,1,1,1,122,122,122,50,50,50,3,3,3,2008-12-10,2008-12-10,2008-12-10,"Maurer, Ueli","Maurer, Ueli"
"Tschudi, Hans-Peter","Tschudi, Hans-Peter","Tschudi, Hans-Peter",SP,PS,PS,129,129,129,235,235,235,235,235,235,5,5,5,116,116,116,54.89,54.89,54.89,3,3,3,1959-12-17,1959-12-17,1959-12-17,"Tschudi, Hans-Peter","Tschudi, Hans-Peter"
"Parmelin, Guy","Parmelin, Guy","Parmelin, Guy",SVP,UDC,UDC,138,138,138,243,243,243,243,243,243,6,6,6,119,119,119,56.79,56.79,56.79,3,3,3,2015-12-09,2015-12-09,2015-12-09,"Parmelin, Guy","Parmelin, Guy"
"Dreifuss, Ruth","Dreifuss, Ruth","Dreifuss, Ruth",SP,PS,PS,144,144,144,229,229,229,228,228,228,38,38,38,96,96,96,63.16,63.16,63.16,3,3,3,1993-03-10,1993-03-10,1993-03-10,"Dreifuss, Ruth","Dreifuss, Ruth"
"Cassis, Ignazio","Cassis, Ignazio","Cassis, Ignazio",FDP,PLR,PLR,125,125,125,246,246,246,246,246,246,2,2,2,123,123,123,50.81,50.81,50.81,2,2,2,2017-09-20,2017-09-20,2017-09-20,"Cassis, Ignazio","Cassis, Ignazio"
"Widmer-Schlumpf, Eveline","Widmer-Schlumpf, Eveline","Widmer-Schlumpf, Eveline",BPD,PBD,PBD,125,125,125,246,246,246,246,246,246,4,4,4,122,122,122,50.81,50.81,50.81,2,2,2,2007-12-12,2007-12-12,2007-12-12,"Widmer-Schlumpf, Eveline","Widmer-Schlumpf, Eveline"
"Berset, Alain","Berset, Alain","Berset, Alain",SP,PS,PS,126,126,126,245,245,245,245,245,245,0,0,0,123,123,123,51.43,51.43,51.43,2,2,2,2011-12-14,2011-12-14,2011-12-14,"Berset, Alain","Berset, Alain"
