Nom et prénom,IT_nom et prénom,Name Vorname,Nombre de voix obtenues,Anzahl erhalten Stimmen,IT_voix_total,Bulletins délivrés,Ausgeteilte Wahlzettel,IT_Bulletins_délivrés,Bulletins rentrés,Eingegangene Wahlzettel,IT_Bulletins rentrés,Bulletins blancs,Leer,IT_Bulletins blancs,Bulletins nuls,Ungültig,IT_Bulletins nuls,Majorité absolue,Absolutes Mehr,IT_Majorité absolue,Pourcentage des voix,Stimmenanteil,ITPourcentage des voix,Tour,Wahlgang,IT_Tour,Date,Datum,IT_Date,Partei,Parti
"Graber, Pierre","Graber, Pierre","Graber, Pierre",188,188,188,243,243,243,243,243,243,22,22,22,0,0,22,111,111,111,77.37,77.37,77.37,1,1,1,1969-12-10,1969-12-10,1969-12-10,SP,PS
"Schaffner, Hans","Schaffner, Hans","Schaffner, Hans",175,175,175,233,233,233,232,232,232,15,15,15,3,3,15,108,108,108,75.43,75.43,75.43,1,1,1,1961-06-15,1961-06-15,1961-06-15,FDP,PLR
"Honegger, Fritz","Honegger, Fritz","Honegger, Fritz",173,173,173,240,240,240,230,230,230,20,20,20,2,2,20,105,105,105,75.22,75.22,75.22,1,1,1,1977-12-07,1977-12-07,1977-12-07,FDP,PLR
"Koller, Arnold","Koller, Arnold","Koller, Arnold",180,180,180,244,244,244,243,243,243,0,0,0,1,1,0,122,122,122,74.07,74.07,74.07,1,1,1,1986-12-10,1986-12-10,1986-12-10,Die Mitte,Le Centre
"Gnägi, Rudolf","Gnägi, Rudolf","Gnägi, Rudolf",176,176,176,242,242,242,239,239,239,23,23,23,1,1,23,108,108,108,73.64,73.64,73.64,1,1,1,1965-12-15,1965-12-15,1965-12-15,SVP,UDC
"Cotti, Flavio","Cotti, Flavio","Cotti, Flavio",163,163,163,243,243,243,242,242,242,3,3,3,0,0,3,120,120,120,67.36,67.36,67.36,1,1,1,1986-12-10,1986-12-10,1986-12-10,Die Mitte,Le Centre
"Brugger, Ernst","Brugger, Ernst","Brugger, Ernst",160,160,160,243,243,243,241,241,241,5,5,5,0,0,5,119,119,119,66.39,66.39,66.39,1,1,1,1969-12-10,1969-12-10,1969-12-10,FDP,PLR
"Schlumpf, Leon","Schlumpf, Leon","Schlumpf, Leon",159,159,159,246,246,246,246,246,246,4,4,4,1,1,4,121,121,121,64.63,64.63,64.63,1,1,1,1979-12-05,1979-12-05,1979-12-05,SVP,UDC
"Keller-Suter, Karin","Keller-Suter, Karin","Keller-Suter, Karin",154,154,154,244,244,244,243,243,243,6,6,6,0,0,6,119,119,119,63.37,63.37,63.37,1,1,1,2018-12-05,2018-12-05,2018-12-05,FDP,PLR
"Felber, René","Felber, René","Felber, René",152,152,152,242,242,242,242,242,242,11,11,11,3,3,11,115,115,115,62.81,62.81,62.81,1,1,1,1987-12-09,1987-12-09,1987-12-09,SP,PS
"Spühler, Willy","Spühler, Willy","Spühler, Willy",149,149,149,238,238,238,238,238,238,12,12,12,0,0,12,114,114,114,62.61,62.61,62.61,1,1,1,1959-12-17,1959-12-17,1959-12-17,SP,PS
"von Moos, Ludwig","von Moos, Ludwig","von Moos, Ludwig",148,148,148,238,238,238,238,238,238,12,12,12,0,0,12,114,114,114,62.18,62.18,62.18,1,1,1,1959-12-17,1959-12-17,1959-12-17,Die Mitte,Le Centre
"Ahmerd, Viola","Ahmerd, Viola","Ahmerd, Viola",148,148,148,244,244,244,244,244,244,4,4,4,0,0,4,121,121,121,60.66,60.66,60.66,1,1,1,2018-12-05,2018-12-05,2018-12-05,Die Mitte,Le Centre
"Aubert, Pierre","Aubert, Pierre","Aubert, Pierre",139,139,139,239,239,239,239,239,239,7,7,7,0,0,7,117,117,117,58.16,58.16,58.16,1,1,1,1977-12-07,1977-12-07,1977-12-07,SP,PS
"Celio, Nello","Celio, Nello","Celio, Nello",136,136,136,236,236,236,236,236,236,2,2,2,2,2,2,117,117,117,57.63,57.63,57.63,1,1,1,1966-12-14,1966-12-14,1966-12-14,FDP,PLR
"Chevallaz, Georges-André","Chevallaz, Georges-André","Chevallaz, Georges-André",137,137,137,241,241,241,241,241,241,0,0,0,0,0,0,121,121,121,56.85,56.85,56.85,1,1,1,1973-12-05,1973-12-05,1973-12-05,FDP,PLR
"Bourgknecht, Jean","Bourgknecht, Jean","Bourgknecht, Jean",134,134,134,240,240,240,240,240,240,7,7,7,0,0,7,117,117,117,55.83,55.83,55.83,1,1,1,1959-12-17,1959-12-17,1959-12-17,Die Mitte,Le Centre
"Leuthard, Doris","Leuthard, Doris","Leuthard, Doris",133,133,133,242,242,242,242,242,242,5,5,5,3,3,5,118,118,118,54.96,54.96,54.96,1,1,1,2006-06-14,2006-06-14,2006-06-14,Die Mitte,Le Centre
"Hürlimann, Hans","Hürlimann, Hans","Hürlimann, Hans",132,132,132,241,241,241,241,241,241,3,3,3,9,9,3,115,115,115,54.77,54.77,54.77,1,1,1,1973-12-05,1973-12-05,1973-12-05,Die Mitte,Le Centre
"Friedrich, Rudolf","Friedrich, Rudolf","Friedrich, Rudolf",130,130,130,245,245,245,245,245,245,0,0,0,0,0,0,123,123,123,53.06,53.06,53.06,1,1,1,1982-12-08,1982-12-08,1982-12-08,FDP,PLR
