Nom et prénom,Cognome e nome,Name Vorname,Nombre de voix obtenues,Anzahl erhaltene Stimmen,Numero di voti ottenuti,Bulletins délivrés,Ausgeteilte Wahlzettel,Schede distribuite,Bulletins rentrés,Eingegangene Wahlzettel,Schede consegnate,Bulletins blancs,Leer,Schede in bianco,Bulletins nuls,Ungültig,Schede nulle,Majorité absolue,Absolutes Mehr,Maggioranza assoluta,Pourcentage des voix,Stimmenanteil,Percentuale di voti,Tour,Wahlgang,Turno,Date,Datum,Data d'elezione,Partei,Parti
"Walter, Hansjörg","Walter, Hansjörg","Walter, Hansjörg",121,121,121,244,244,244,244,244,244,1,1,1,0,0,1,122,122,122,49.59,49.59,49.59,3,3,3,2008-12-10,2008-12-10,2008-12-10,SVP,UDC
"Hess, Peter","Hess, Peter","Hess, Peter",119,119,119,244,244,244,244,244,244,5,5,5,0,0,5,120,120,120,48.77,48.77,48.77,6,6,6,1999-03-11,1999-03-11,1999-03-11,Die Mitte,Le Centre
"Roos, Rita","Roos, Rita","Roos, Rita",118,118,118,245,245,245,244,244,244,0,0,0,0,0,0,123,123,123,48.36,48.36,48.36,4,4,4,1999-03-11,1999-03-11,1999-03-11,Die Mitte,Le Centre
"Metzler-Arnold, Ruth","Metzler-Arnold, Ruth","Metzler-Arnold, Ruth",116,116,116,246,246,246,246,246,246,5,5,5,4,4,5,119,119,119,47.15,47.15,47.15,3,3,3,2003-12-10,2003-12-10,2003-12-10,Die Mitte,Le Centre
"von der Weid, Alfred","von der Weid, Alfred","von der Weid, Alfred",77,77,77,164,164,164,164,164,164,0,0,0,1,1,0,83,83,83,46.95,46.95,46.95,6,6,6,1864-07-12,1864-07-12,1864-07-12,Die Mitte,Le Centre
"Blocher, Christoph","Blocher, Christoph","Blocher, Christoph",115,115,115,246,246,246,246,246,246,4,4,4,0,0,4,122,122,122,46.75,46.75,46.75,2,2,2,2007-12-12,2007-12-12,2007-12-12,SVP,UDC
"Hammer, Bernhard","Hammer, Bernhard","Hammer, Bernhard",78,78,78,171,171,171,171,171,171,1,1,1,0,0,1,86,86,86,45.61,45.61,45.61,3,3,3,1875-12-10,1875-12-10,1875-12-10,FDP,PLR
"Speiser, Paul","Speiser, Paul","Speiser, Paul",81,81,81,186,186,186,184,184,184,5,5,5,0,0,5,90,90,90,44.02,44.02,44.02,4,4,4,1897-03-25,1897-03-25,1897-03-25,LDP,GLE
"Klöti, Emil","Klöti, Emil","Klöti, Emil",98,98,98,223,223,223,223,223,223,8,8,8,0,0,8,108,108,108,43.95,43.95,43.95,1,1,1,1938-12-15,1938-12-15,1938-12-15,SP,PS
"Challet-Venel, Jean-Jacques","Challet-Venel, Jean-Jacques","Challet-Venel, Jean-Jacques",73,73,73,168,168,168,168,168,168,0,0,0,0,0,0,85,85,85,43.45,43.45,43.45,2,2,2,1872-12-07,1872-12-07,1872-12-07,LDP,GLE
"Crittin, Camille","Crittin, Camille","Crittin, Camille",98,98,98,226,226,226,226,226,226,9,9,9,2,2,9,108,108,108,43.36,43.36,43.36,5,5,5,1940-12-10,1940-12-10,1940-12-10,FDP,PLR
"Schwaller, Urs","Schwaller, Urs","Schwaller, Urs",106,106,106,245,245,245,245,245,245,5,5,5,1,1,5,120,120,120,43.27,43.27,43.27,4,4,4,2009-09-16,2009-09-16,2009-09-16,Die Mitte,Le Centre
"Kopp, Alois","Kopp, Alois","Kopp, Alois",76,76,76,177,177,177,177,177,177,1,1,1,1,1,1,88,88,88,42.94,42.94,42.94,1,1,1,1893-04-10,1893-04-10,1893-04-10,Die Mitte,Le Centre
"Borel, Eugène","Borel, Eugène","Borel, Eugène",66,66,66,157,157,157,155,155,155,0,0,0,0,0,0,78,78,78,42.58,42.58,42.58,2,2,2,1870-02-01,1870-02-01,1870-02-01,FDP,PLR
"Kopp, Alois","Kopp, Alois","Kopp, Alois",77,77,77,181,181,181,181,181,181,0,0,0,0,0,0,91,91,91,42.54,42.54,42.54,1,1,1,1890-12-11,1890-12-11,1890-12-11,Die Mitte,Le Centre
"Schaffner, Hans","Schaffner, Hans","Schaffner, Hans",97,97,97,235,235,235,235,235,235,5,5,5,0,0,5,116,116,116,41.28,41.28,41.28,3,3,3,1959-12-17,1959-12-17,1959-12-17,FDP,PLR
"Briatte, François","Briatte, François","Briatte, François",60,60,60,154,154,154,148,148,148,0,0,0,0,0,0,75,75,75,40.54,40.54,40.54,3,3,3,1855-07-11,1855-07-11,1855-07-11,FDP,PLR
"Frey-Herosé, Friedrich","Frey-Herosé, Friedrich","Frey-Herosé, Friedrich",53,53,53,132,132,132,132,132,132,0,0,0,0,0,0,67,67,67,40.15,40.15,40.15,3,3,3,1848-11-16,1848-11-16,1848-11-16,FDP,PLR
"Naeff, Wilhelm Matthias","Naeff, Wilhelm Matthias","Naeff, Wilhelm Matthias",52,52,52,130,130,130,130,130,130,0,0,0,0,0,0,66,66,66,40,40,40,2,2,2,1848-11-16,1848-11-16,1848-11-16,FDP,PLR
"Beerli, Christine","Beerli, Christine","Beerli, Christine",96,96,96,244,244,244,244,244,244,5,5,5,0,0,5,120,120,120,39.34,39.34,39.34,2,2,2,2003-12-10,2003-12-10,2003-12-10,FDP,PLR
